DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
151,1.258333,0.167300,0.977247,0.130305,0.004473,334.929199,1702.466675,-276.062134,0.030410,-0.980625,0.125746,0.989122,-11.255274,-2.731640,-9.254883,14.825515,-8.298227,0.882486,3.659927,-148.426315,10.258068,-113.068794,125.158791,1750.395386,-302.067993,376.401825,1710.674194,-404.120178,537.137634,1649.133545,-197.468338,,,,0.211041,0.934136,-0.045473,-0.284224,428.623779,1683.876587,-598.110779,0.139856,-1.455894,-0.025210,1.462813,-13.934180,-4.925394,8.269629,16.935396,4.025625,-1.407298,9.168952,70.436577,128.776962,71.949348,572.269226,1644.236084,-645.683228,,,,380.450378,1710.389648,-468.410339,143.528000,1745.522705,-599.868042,340.142609,1722.995605,-679.071655,307.711304,1726.223877,-202.526077,2627.930664,37.199894,1375.102417,2654.817627,53.845798,1305.534790,2662.811768,37.833473,1330.293823,2455.600586,133.403366,1465.843140,,,,828.603455,762.368958,-79.269287,,,,,,,,,,345.225006,1295.000122,-398.121796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1.266667,0.179160,0.969342,0.168040,0.006290,333.438080,1694.365112,-276.871490,-0.063560,-0.985342,0.050771,0.988694,-11.276366,-0.566018,-8.996922,14.436808,-9.160295,0.709894,3.083558,-103.448059,-20.711023,-69.164223,125.359818,1749.644287,-301.780060,376.619385,1711.190674,-403.693359,533.368530,1629.823975,-199.766510,,,,0.235832,0.926069,-0.071013,-0.285896,425.549194,1674.023682,-597.762207,0.004373,-1.406074,0.036870,1.406564,-16.258009,5.978322,7.449609,18.856295,4.208413,-0.098029,7.692168,21.934488,157.112259,-177.214035,566.885193,1626.298584,-645.499817,,,,380.314209,1710.411499,-468.407959,143.049362,1745.495361,-599.315430,336.553986,1710.535767,-679.654602,305.709869,1712.464966,-201.479721,2627.971436,37.222546,1375.118164,2654.803955,53.837589,1305.520508,2662.724609,37.896797,1330.349609,2455.636719,133.393188,1465.839722,,,,828.966431,762.526917,-79.382553,,,,,,,,,,345.938263,1294.866577,-397.633545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1.275000,0.185749,0.961922,0.200292,0.009334,331.379639,1687.008667,-278.264130,-0.148601,-0.966372,-0.021456,0.977966,-10.204982,2.276366,-8.667334,13.581096,-7.924827,0.401779,1.778011,148.256134,-36.973778,-156.665619,124.740074,1747.108398,-302.466522,376.627838,1711.424438,-403.764313,529.095581,1614.226807,-202.021408,,,,0.253903,0.917387,-0.093798,-0.291782,421.372131,1666.420776,-597.879822,-0.178191,-1.299609,0.049446,1.312700,-21.907618,12.775783,1.509082,25.405544,4.306139,0.922479,5.971916,11.727218,122.460960,-206.430237,559.888672,1612.645386,-646.947021,,,,380.229004,1710.755737,-468.516266,141.178192,1744.795288,-596.963562,329.708771,1698.867065,-678.966370,302.054260,1700.342041,-202.037949,2627.928223,37.192787,1375.114380,2654.782471,53.774498,1305.459717,2662.854004,37.829918,1330.248657,2455.693604,133.386505,1465.858643,,,,829.320068,762.742065,-78.805298,,,,,,,,,,345.992706,1294.783813,-397.822968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.457535,753.923950,-353.351288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1.283333,0.186972,0.957141,0.220687,0.014801,328.868103,1682.306396,-280.176208,-0.212966,-0.884722,-0.091527,0.914584,-7.723828,9.798052,-8.408496,15.045337,-5.179767,-0.422524,0.278366,329.407166,-98.916328,-179.957367,122.969467,1744.608643,-305.600250,376.222534,1711.550293,-404.284058,525.104370,1605.127441,-202.938156,,,,0.263520,0.909062,-0.112342,-0.302560,416.734528,1662.241455,-598.037659,-0.320566,-1.101328,0.051196,1.148176,-17.085056,23.793753,0.210059,29.293104,4.253846,2.042633,3.680998,-6.275196,134.418472,-274.910217,552.923401,1604.746338,-649.933838,,,,380.023712,1711.950684,-468.617004,138.044495,1744.289429,-591.069397,320.290314,1686.532227,-676.347351,296.568390,1687.697754,-204.055984,2627.951172,37.176605,1375.109253,2654.850586,53.868080,1305.541260,2662.798828,37.834995,1330.283447,2455.739502,133.373062,1465.864624,,,,828.681274,762.486084,-79.127220,,,,,,,,,,345.581024,1295.065308,-397.709900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1.291667,0.178415,0.953593,0.241262,0.024913,326.207672,1679.904297,-283.045288,-0.244395,-0.738647,-0.176404,0.797776,-3.771386,17.528908,-10.185205,20.620970,-5.398846,-0.959002,-2.269109,-26.289537,-64.377350,-305.697113,119.875031,1741.064087,-312.575684,377.113403,1714.304443,-404.720001,521.357788,1601.781738,-202.349213,,,,0.263914,0.902403,-0.127260,-0.315948,411.952820,1660.537109,-597.817505,-0.443101,-0.849287,0.035779,0.958596,-14.704102,30.244917,-1.850098,33.680683,4.252913,2.471828,1.229487,-0.112038,51.503387,-294.181305,546.988892,1601.948975,-653.261475,,,,379.744995,1712.904907,-468.634613,132.919296,1742.595459,-582.275635,310.257751,1675.475708,-672.624756,290.102173,1675.636108,-208.121597,2627.922607,37.169720,1375.125366,2654.828369,53.820309,1305.455444,2662.818359,37.867893,1330.298584,2455.756104,133.374161,1465.880371,,,,828.756592,762.579895,-79.261261,,,,,,,,,,344.968964,1295.138916,-398.088135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1.300000,0.167698,0.952627,0.251475,0.033768,323.557587,1678.227661,-286.130798,-0.272915,-0.581719,-0.241652,0.686495,-3.422459,18.831446,-7.829736,20.679491,-2.836815,-0.974550,-2.863019,307.443665,-1.865809,-71.269165,116.255386,1736.947632,-320.599182,376.927887,1715.082153,-404.964752,518.711914,1601.886597,-201.997040,283.868805,1663.012695,-213.050507,0.259987,0.897399,-0.140701,-0.327543,408.124817,1660.093994,-596.573547,-0.491979,-0.570791,0.036892,0.754458,-5.865379,33.419529,0.133594,33.930595,4.096105,1.919521,0.131601,-18.816889,-66.276779,-131.746307,543.309265,1601.604614,-655.121277,302.291016,1663.527832,-667.478516,379.145996,1714.072266,-468.323364,127.901314,1740.242554,-572.641052,,,,,,,2627.898926,37.160706,1375.134888,2654.812744,53.853279,1305.435303,2662.950195,37.912094,1330.361084,2455.711914,133.354858,1465.847168,,,,829.002563,762.687378,-79.082077,,,,,,,,,,344.813141,1295.092773,-398.260406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1.308333,0.150294,0.950796,0.268318,0.037485,322.394165,1675.862671,-288.271698,-0.265056,-0.444082,-0.273604,0.585083,0.943065,16.516401,-3.834228,16.981819,-4.252483,0.863668,-3.993769,-169.880157,220.586151,-135.689987,113.808716,1733.384033,-326.009644,375.942322,1716.616089,-405.438568,518.489868,1606.245850,-201.230606,281.335602,1647.204712,-220.407776,0.250359,0.893196,-0.170917,-0.332127,406.926453,1658.801636,-594.462463,-0.446942,-0.365332,0.079189,0.582663,5.404393,24.655083,5.075684,25.745741,7.693941,-0.892889,0.409160,431.740295,-337.489197,33.307098,543.515381,1606.130127,-655.425659,299.610870,1649.221680,-660.479370,378.670654,1715.292847,-467.909790,124.340363,1736.211060,-565.812805,,,,,,,2627.907715,37.153080,1375.128296,2654.782715,53.772537,1305.386475,2662.819092,37.896126,1330.338623,2455.791260,133.366852,1465.903809,,,,828.827454,762.512024,-79.113335,,,,,,,,,,345.661652,1294.863281,-397.937866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.788818,856.453064,-287.601257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1.316667,0.143707,0.958395,0.244211,0.034474,323.056488,1680.922363,-288.259583,-0.199753,-0.146060,-0.239886,0.344645,7.836329,35.762695,4.046046,36.834072,6.040564,0.310092,-1.800246,1235.165527,-66.429131,263.222748,112.829788,1729.750122,-326.980164,375.322662,1717.636108,-405.869781,522.056152,1615.254028,-201.025604,,,,0.236325,0.893634,-0.197424,-0.326485,409.142487,1659.378052,-592.235413,-0.293507,-0.168999,0.135469,0.364772,18.412205,23.559959,6.753515,30.654379,6.444951,-3.413303,-0.690643,-149.878799,-302.449707,-131.976288,548.365417,1615.389404,-654.104736,301.807526,1634.572998,-653.634460,378.161652,1716.488770,-467.564209,123.927895,1731.160400,-565.918579,,,,282.379913,1630.351440,-230.343063,2627.925293,37.145638,1375.128784,2654.809326,53.834087,1305.522095,2662.934570,37.767441,1330.193848,2455.712891,133.396729,1465.892578,,,,828.965515,762.583801,-79.227715,,,,,,,,,,345.564453,1294.634277,-397.925079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.313110,851.286316,-272.858582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1.325000,0.130504,0.966023,0.221641,0.025381,326.120026,1685.843140,-286.968933,-0.065958,0.084873,-0.163026,0.195273,16.055420,27.711914,9.223242,33.328590,5.843509,2.150382,-2.954201,-23.646524,220.834763,-138.474625,113.256020,1726.789062,-324.442352,375.120941,1718.439575,-406.208679,529.189697,1630.227295,-200.931091,,,,0.212936,0.914227,-0.132131,-0.318418,414.254700,1673.240112,-594.322815,-0.059520,0.263950,0.089158,0.284889,28.078417,51.953907,-5.557324,59.316860,-13.616162,-0.749387,-10.927752,-2407.333496,319.669861,-1228.453125,557.623108,1629.809814,-651.637878,,,,377.895569,1717.552856,-467.118896,125.576515,1727.616089,-570.864624,309.393066,1619.468506,-646.814636,289.954926,1616.849731,-236.287338,2627.931396,37.185783,1375.119507,2654.808350,53.852509,1305.468262,2662.646484,37.871479,1330.392456,2455.719482,133.372818,1465.893799,,,,829.021057,762.650513,-78.995811,,,,,,,,,,345.115662,1294.745117,-398.213318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1.333333,0.115376,0.975130,0.188810,0.012665,330.638000,1693.120972,-284.862335,0.106329,0.317197,-0.043608,0.337375,20.674513,27.878904,14.330127,37.550251,8.404568,2.780757,-3.317161,307.326996,75.645012,-43.555096,115.151031,1724.281128,-319.374390,375.052094,1719.424683,-406.727448,538.407959,1650.275513,-201.239166,,,,0.187085,0.926886,-0.109620,-0.306374,420.209747,1683.028320,-594.280701,0.198164,0.539795,0.084880,0.581251,30.922121,33.101364,-0.513281,45.300568,-3.981541,-3.280118,-7.659136,1156.154419,-303.687714,392.233978,567.464478,1648.750488,-648.783264,,,,378.123535,1718.450806,-466.575134,128.329422,1724.368652,-577.458801,321.973053,1610.711548,-643.134338,302.069550,1609.515747,-238.472260,2627.935303,37.182293,1375.114502,2654.828125,53.857761,1305.543823,2662.860352,37.897488,1330.313843,2455.733154,133.381607,1465.885498,,,,829.000427,762.568176,-79.154366,,,,,,,,,,345.002167,1294.649902,-398.042999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1.341667,0.096908,0.983369,0.153599,0.001492,334.745361,1700.962524,-283.091949,0.268506,0.545654,0.072931,0.612497,19.461182,27.414843,13.984717,36.412685,8.869643,2.502347,-4.152115,55.809055,-33.409164,-100.194565,117.222099,1720.926025,-314.459839,375.312134,1720.433960,-407.522919,546.165405,1672.482056,-201.763000,,,,0.158694,0.937611,-0.083929,-0.297755,425.089813,1694.291016,-594.184937,0.407164,0.820723,0.057327,0.917962,25.080030,33.711330,-3.306445,42.147293,-4.297731,-2.300048,-8.461993,-37.942768,117.608467,-96.342880,574.913269,1669.836670,-646.618774,,,,378.175293,1719.561768,-465.938782,131.641312,1722.185181,-582.583191,335.280060,1609.813721,-643.517395,315.302429,1609.162354,-236.175583,2627.921143,37.180061,1375.128174,2654.784424,53.798088,1305.408325,2662.820801,37.869595,1330.305786,2455.692383,133.381332,1465.857422,,,,828.448608,762.352417,-79.043205,,,,,,,,,,345.476624,1294.963501,-397.738739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1.350000,0.074547,0.990099,0.118873,-0.004050,337.229218,1708.539551,-281.850739,0.356041,0.784233,0.154105,0.874949,10.504249,28.629498,9.740918,32.013638,8.567126,1.327483,-5.243608,-36.302032,-140.983658,-130.979172,118.885811,1716.116943,-311.599762,375.815887,1721.203247,-408.123901,550.211426,1695.636108,-201.298721,,,,0.126333,0.944741,-0.064166,-0.295612,427.510895,1705.069092,-594.160828,0.494026,1.110425,0.007236,1.215384,10.423386,34.764259,-6.010840,36.787647,-2.360638,-0.891221,-8.924888,232.451096,169.059189,-55.547329,579.102356,1691.351440,-646.222351,,,,378.323395,1720.518799,-465.451813,132.675095,1717.213867,-583.928162,344.125244,1614.787231,-646.797607,324.294495,1614.852661,-231.302017,2627.961182,37.173290,1375.123901,2654.804688,53.848774,1305.493774,2662.824463,37.847382,1330.293701,2455.682129,133.371719,1465.836914,,,,828.857056,762.575928,-79.348373,,,,,,,,,,345.029480,1294.868530,-398.233459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1.358333,0.050347,0.994495,0.091801,-0.004092,337.443329,1714.432129,-281.884247,0.345286,0.804243,0.153007,0.888505,-1.290675,2.401170,-0.131836,2.729257,6.584205,0.211938,-5.802815,-237.950577,-133.865402,-67.104836,119.419937,1709.710449,-311.842041,375.771515,1722.097534,-408.975403,550.192932,1716.325073,-200.581726,,,,0.093521,0.948279,-0.051085,-0.299018,427.134064,1714.532959,-594.739014,0.431796,1.323735,-0.060081,1.393676,-7.467627,25.597256,-8.078027,27.861074,-0.589163,0.412834,-8.529267,212.577026,156.486679,47.474438,578.632568,1711.500977,-648.115540,,,,377.956512,1721.442261,-464.972656,132.478683,1710.019043,-582.937012,347.382355,1623.250244,-650.958557,327.943390,1623.261719,-226.451584,2627.875488,37.125027,1375.145142,2654.845459,53.891129,1305.559692,2662.758301,37.901890,1330.375244,2455.745605,133.331680,1465.871338,,,,828.833374,762.501587,-78.906174,,,,,,,,,,345.463745,1294.974976,-397.602051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1.366667,0.024529,0.997131,0.071613,-0.000013,335.893280,1718.197388,-282.235260,0.234558,0.776499,0.113606,0.819069,-13.287303,-3.329301,-4.728076,14.491078,4.853379,-0.651595,-6.265395,-207.699036,-103.624008,-55.509563,119.384537,1701.146729,-313.544647,375.429901,1722.677734,-409.966919,546.529114,1734.217163,-198.747940,,,,0.060994,0.949466,-0.041762,-0.305041,425.020935,1722.688110,-595.728943,0.258387,1.186758,-0.033750,1.215030,-20.808985,-16.437305,3.159668,26.705475,0.333163,1.096214,-8.173978,110.679092,82.005539,42.634731,574.591309,1730.073364,-651.274841,,,,377.659363,1721.961670,-464.024780,132.004028,1701.284912,-581.634338,346.963776,1633.099243,-654.586243,326.312347,1635.177124,-222.150314,2627.903564,37.155254,1375.134277,2654.803223,53.828697,1305.476929,2662.842041,37.896194,1330.341797,2455.696045,133.376236,1465.884644,,,,829.127930,762.528015,-79.027359,,,,,,,,,,345.412628,1294.955322,-397.734833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1.375000,-0.002455,0.998482,0.054967,0.002402,333.673828,1720.889893,-282.394012,0.072861,0.666445,0.059242,0.673029,-19.403614,-13.206446,-6.523681,24.361217,3.993334,-0.211992,-6.508087,-103.205444,52.752396,-29.122980,119.389488,1691.329224,-314.029236,374.255219,1723.244263,-410.619720,541.468567,1750.829712,-197.924026,,,,0.029053,0.949404,-0.037751,-0.310424,421.882599,1729.719727,-596.282532,0.040148,1.120562,-0.048040,1.122309,-26.188766,-7.943544,-1.714746,27.420645,1.504020,0.969828,-7.626400,140.502838,-15.166347,65.709282,569.014709,1747.138550,-653.723938,,,,376.610992,1722.676758,-463.002197,131.589401,1691.112793,-580.105652,344.639374,1643.270264,-658.173279,322.390594,1647.599976,-218.067459,2627.896973,37.127720,1375.159790,2654.799805,53.858799,1305.421753,2662.697998,37.798416,1330.244385,2455.753906,133.401138,1465.906494,,,,829.233704,762.897583,-78.514236,,,,,,,,,,345.031250,1294.952881,-398.165405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1.383333,-0.028501,0.999021,0.033635,0.003614,332.430817,1723.576050,-282.353973,-0.055554,0.542725,0.017710,0.545848,-15.409863,-14.846484,-4.983838,21.970903,5.105743,0.065945,-6.270607,133.489151,33.352425,28.497561,120.421181,1681.728394,-312.731628,374.496765,1722.654785,-411.354797,536.768311,1767.627319,-198.267776,,,,-0.003053,0.949319,-0.032269,-0.312638,419.260559,1737.032227,-596.532837,-0.139900,1.025786,-0.056360,1.036815,-21.605713,-11.373052,-0.998438,24.436653,1.159134,0.258173,-7.744972,-41.386353,-85.398613,-14.228610,563.700989,1764.421997,-654.517761,,,,375.685028,1723.386963,-462.318237,132.559250,1681.505005,-580.622559,341.014740,1656.277832,-662.037231,318.274994,1662.480225,-213.918167,2627.956299,37.180431,1375.113403,2654.801270,53.824944,1305.456055,2662.827148,37.864147,1330.327271,2455.750000,133.369125,1465.888306,,,,828.847229,762.505920,-79.009964,,,,,,,,,,345.729095,1294.889771,-397.452606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
